no,slug,name,category,reliability,coinedYear,namedAfter,url
002,campbells-law,Campbell's Law,sociology,Heuristic,1975,Donald T. Campbell,https://conyso.com/lawtome/laws/campbells-law/
005,cobra-effect,The Cobra Effect,economics,Heuristic,2001,Horst Siebert,https://conyso.com/lawtome/laws/cobra-effect/
008,conways-law,Conway's Law,software,Heuristic,1968,Melvin Conway,https://conyso.com/lawtome/laws/conways-law/
011,dunning-kruger-effect,The Dunning–Kruger Effect,psychology,Contested,1999,David Dunning and Justin Kruger,https://conyso.com/lawtome/laws/dunning-kruger-effect/
014,goodharts-law,Goodhart's Law,economics,Heuristic,1975,Charles Goodhart,https://conyso.com/lawtome/laws/goodharts-law/
017,hanlons-razor,Hanlon's Razor,psychology,Folk-adage,1980,Robert J. Hanlon,https://conyso.com/lawtome/laws/hanlons-razor/
020,hofstadters-law,Hofstadter's Law,planning,Heuristic,1979,Douglas Hofstadter,https://conyso.com/lawtome/laws/hofstadters-law/
023,occams-razor,Occam's Razor,logic,Heuristic,,William of Ockham,https://conyso.com/lawtome/laws/occams-razor/
026,parkinsons-law,Parkinson's Law,management,Heuristic,1955,C. Northcote Parkinson,https://conyso.com/lawtome/laws/parkinsons-law/
029,streisand-effect,The Streisand Effect,media,Heuristic,2005,Barbra Streisand,https://conyso.com/lawtome/laws/streisand-effect/
032,the-peter-principle,The Peter Principle,management,Heuristic,1969,Laurence J. Peter,https://conyso.com/lawtome/laws/the-peter-principle/
035,brooks-law,Brooks's Law,software,Heuristic,1975,Fred Brooks,https://conyso.com/lawtome/laws/brooks-law/
038,galls-law,Gall's Law,software,Heuristic,1975,John Gall,https://conyso.com/lawtome/laws/galls-law/
041,pareto-principle,The Pareto Principle,statistics,Heuristic,1941,Vilfredo Pareto,https://conyso.com/lawtome/laws/pareto-principle/
044,sturgeons-law,Sturgeon's Law,media,Folk-adage,1958,Theodore Sturgeon,https://conyso.com/lawtome/laws/sturgeons-law/
047,murphys-law,Murphy's Law,planning,Folk-adage,1949,Edward A. Murphy Jr.,https://conyso.com/lawtome/laws/murphys-law/
050,betteridges-law,Betteridge's Law of Headlines,media,Folk-adage,2009,Ian Betteridge,https://conyso.com/lawtome/laws/betteridges-law/
051,dunbars-number,Dunbar's Number,psychology,Contested,1992,Robin Dunbar,https://conyso.com/lawtome/laws/dunbars-number/
052,godwins-law,Godwin's Law,media,Heuristic,1990,Mike Godwin,https://conyso.com/lawtome/laws/godwins-law/
053,cunninghams-law,Cunningham's Law,media,Folk-adage,2010,Ward Cunningham,https://conyso.com/lawtome/laws/cunninghams-law/
055,hyrums-law,Hyrum's Law,software,Heuristic,,Hyrum Wright,https://conyso.com/lawtome/laws/hyrums-law/
056,metcalfes-law,Metcalfe's Law,technology,Heuristic,1993,Robert Metcalfe,https://conyso.com/lawtome/laws/metcalfes-law/
057,moores-law,Moore's Law,technology,Empirical,1965,Gordon Moore,https://conyso.com/lawtome/laws/moores-law/
058,amaras-law,Amara's Law,technology,Heuristic,,Roy Amara,https://conyso.com/lawtome/laws/amaras-law/
059,lindy-effect,The Lindy Effect,statistics,Heuristic,1964,,https://conyso.com/lawtome/laws/lindy-effect/
060,chestertons-fence,Chesterton's Fence,philosophy,Heuristic,1929,G. K. Chesterton,https://conyso.com/lawtome/laws/chestertons-fence/
061,poes-law,Poe's Law,media,Folk-adage,2005,Nathan Poe,https://conyso.com/lawtome/laws/poes-law/
062,brandolinis-law,Brandolini's Law,media,Heuristic,2013,Alberto Brandolini,https://conyso.com/lawtome/laws/brandolinis-law/
063,postels-law,Postel's Law,software,Contested,1980,Jon Postel,https://conyso.com/lawtome/laws/postels-law/
064,sayres-law,Sayre's Law,sociology,Folk-adage,1973,Wallace Sayre,https://conyso.com/lawtome/laws/sayres-law/
065,kranzbergs-first-law,Kranzberg's First Law,technology,Heuristic,1986,Melvin Kranzberg,https://conyso.com/lawtome/laws/kranzbergs-first-law/
066,wirths-law,Wirth's Law,software,Heuristic,1995,Niklaus Wirth,https://conyso.com/lawtome/laws/wirths-law/
067,gell-mann-amnesia-effect,The Gell-Mann Amnesia Effect,media,Folk-adage,2002,Murray Gell-Mann,https://conyso.com/lawtome/laws/gell-mann-amnesia-effect/
069,parkinsons-law-of-triviality,Parkinson's Law of Triviality,management,Heuristic,1957,C. Northcote Parkinson,https://conyso.com/lawtome/laws/parkinsons-law-of-triviality/
070,segals-law,Segal's Law,statistics,Folk-adage,1930,,https://conyso.com/lawtome/laws/segals-law/
071,stiglers-law,Stigler's Law of Eponymy,sociology,Heuristic,1980,Stephen Stigler,https://conyso.com/lawtome/laws/stiglers-law/
072,clarkes-three-laws,Clarke's Three Laws,technology,Folk-adage,1962,Arthur C. Clarke,https://conyso.com/lawtome/laws/clarkes-three-laws/
073,sagan-standard,The Sagan Standard,logic,Heuristic,1980,Carl Sagan,https://conyso.com/lawtome/laws/sagan-standard/
074,russells-teapot,Russell's Teapot,philosophy,Heuristic,1952,Bertrand Russell,https://conyso.com/lawtome/laws/russells-teapot/
076,alders-razor,Newton's Flaming Laser Sword,logic,Contested,2004,Mike Alder,https://conyso.com/lawtome/laws/alders-razor/
077,matthew-effect,The Matthew Effect,sociology,Empirical,1968,the Gospel of Matthew,https://conyso.com/lawtome/laws/matthew-effect/
078,overton-window,The Overton Window,sociology,Heuristic,,Joseph P. Overton,https://conyso.com/lawtome/laws/overton-window/
079,dilbert-principle,The Dilbert Principle,management,Folk-adage,1995,Dilbert,https://conyso.com/lawtome/laws/dilbert-principle/
080,putts-law,Putt's Law,management,Folk-adage,1981,Archibald Putt,https://conyso.com/lawtome/laws/putts-law/
081,iron-law-of-oligarchy,The Iron Law of Oligarchy,sociology,Contested,1911,Robert Michels,https://conyso.com/lawtome/laws/iron-law-of-oligarchy/
082,benfords-law,Benford's Law,statistics,Empirical,1938,Frank Benford,https://conyso.com/lawtome/laws/benfords-law/
083,littlewoods-law,Littlewood's Law,statistics,Heuristic,1953,John Edensor Littlewood,https://conyso.com/lawtome/laws/littlewoods-law/
084,zipfs-law,Zipf's Law,statistics,Empirical,1935,George Kingsley Zipf,https://conyso.com/lawtome/laws/zipfs-law/
085,regression-to-the-mean,Regression to the Mean,statistics,Empirical,1886,Francis Galton,https://conyso.com/lawtome/laws/regression-to-the-mean/
086,simpsons-paradox,Simpson's Paradox,statistics,Empirical,1951,Edward H. Simpson,https://conyso.com/lawtome/laws/simpsons-paradox/
087,twymans-law,Twyman's Law,statistics,Heuristic,,Tony Twyman,https://conyso.com/lawtome/laws/twymans-law/
088,berksons-paradox,Berkson's Paradox,statistics,Empirical,1946,Joseph Berkson,https://conyso.com/lawtome/laws/berksons-paradox/
089,cromwells-rule,Cromwell's Rule,statistics,Heuristic,,Oliver Cromwell,https://conyso.com/lawtome/laws/cromwells-rule/
090,greshams-law,Gresham's Law,economics,Heuristic,1858,Thomas Gresham,https://conyso.com/lawtome/laws/greshams-law/
091,says-law,Say's Law,economics,Contested,1803,Jean-Baptiste Say,https://conyso.com/lawtome/laws/says-law/
092,jevons-paradox,The Jevons Paradox,economics,Contested,1865,William Stanley Jevons,https://conyso.com/lawtome/laws/jevons-paradox/
093,hotellings-law,Hotelling's Law,economics,Contested,1929,Harold Hotelling,https://conyso.com/lawtome/laws/hotellings-law/
094,okuns-law,Okun's Law,economics,Empirical,1962,Arthur Okun,https://conyso.com/lawtome/laws/okuns-law/
095,fitts-law,Fitts's Law,software,Empirical,1954,Paul Fitts,https://conyso.com/lawtome/laws/fitts-law/
096,hicks-law,Hick's Law,software,Empirical,1952,William Edmund Hick,https://conyso.com/lawtome/laws/hicks-law/
097,yerkes-dodson-law,The Yerkes–Dodson Law,psychology,Heuristic,1908,Robert Yerkes and John Dodson,https://conyso.com/lawtome/laws/yerkes-dodson-law/
098,millers-law,Miller's Law,psychology,Empirical,1956,George A. Miller,https://conyso.com/lawtome/laws/millers-law/
099,weber-fechner-law,The Weber–Fechner Law,psychology,Empirical,1860,Ernst Weber and Gustav Fechner,https://conyso.com/lawtome/laws/weber-fechner-law/
100,zeigarnik-effect,The Zeigarnik Effect,psychology,Contested,1927,Bluma Zeigarnik,https://conyso.com/lawtome/laws/zeigarnik-effect/
101,hawthorne-effect,The Hawthorne Effect,psychology,Contested,1958,The Hawthorne Works,https://conyso.com/lawtome/laws/hawthorne-effect/
102,halo-effect,The Halo Effect,psychology,Empirical,1920,Edward Thorndike,https://conyso.com/lawtome/laws/halo-effect/
103,peltzman-effect,The Peltzman Effect,psychology,Contested,1975,Sam Peltzman,https://conyso.com/lawtome/laws/peltzman-effect/
104,baader-meinhof-phenomenon,The Baader–Meinhof Phenomenon,psychology,Heuristic,2005,The Baader–Meinhof group,https://conyso.com/lawtome/laws/baader-meinhof-phenomenon/
105,ringelmann-effect,The Ringelmann Effect,psychology,Empirical,1913,Maximilien Ringelmann,https://conyso.com/lawtome/laws/ringelmann-effect/
106,ebbinghaus-forgetting-curve,The Ebbinghaus Forgetting Curve,psychology,Empirical,1885,Hermann Ebbinghaus,https://conyso.com/lawtome/laws/ebbinghaus-forgetting-curve/
107,pygmalion-effect,The Pygmalion Effect,psychology,Contested,1968,Pygmalion of Greek myth,https://conyso.com/lawtome/laws/pygmalion-effect/
108,amdahls-law,Amdahl's Law,software,Empirical,1967,Gene Amdahl,https://conyso.com/lawtome/laws/amdahls-law/
109,gustafsons-law,Gustafson's Law,software,Empirical,1988,John Gustafson,https://conyso.com/lawtome/laws/gustafsons-law/
111,linuss-law,Linus's Law,software,Contested,1999,Linus Torvalds,https://conyso.com/lawtome/laws/linuss-law/
112,zawinskis-law,Zawinski's Law,software,Folk-adage,1995,Jamie Zawinski,https://conyso.com/lawtome/laws/zawinskis-law/
113,greenspuns-tenth-rule,Greenspun's Tenth Rule,software,Folk-adage,1993,Philip Greenspun,https://conyso.com/lawtome/laws/greenspuns-tenth-rule/
114,atwoods-law,Atwood's Law,software,Folk-adage,2007,Jeff Atwood,https://conyso.com/lawtome/laws/atwoods-law/
115,reeds-law,Reed's Law,technology,Contested,2001,David P. Reed,https://conyso.com/lawtome/laws/reeds-law/
